,file_path,emotion,emotional_intensity
0,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-02-02-01-02-04.wav,calm,3
1,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-02-02-01-01-04.wav,calm,3
2,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-02-02-02-02-04.wav,calm,3
3,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-03-01-02-01-04.wav,happy,2
4,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-03-02-01-01-04.wav,happy,3
5,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-01-01-01-02-04.wav,neutral,2
6,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-02-01-02-02-04.wav,calm,2
7,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-01-01-01-01-04.wav,neutral,2
8,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-03-02-01-02-04.wav,happy,3
9,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-03-01-02-02-04.wav,happy,2
10,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-03-01-01-01-04.wav,happy,2
11,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-01-01-02-01-04.wav,neutral,2
12,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-02-01-01-01-04.wav,calm,2
13,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-01-01-02-02-04.wav,neutral,2
14,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-02-01-02-01-04.wav,calm,2
15,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-03-01-01-02-04.wav,happy,2
16,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-02-02-02-01-04.wav,calm,3
17,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-02-01-01-02-04.wav,calm,2
18,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-05-01-02-01-04.wav,angry,2
19,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-03-02-02-01-04.wav,happy,3
20,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-08-01-01-01-04.wav,surprised,2
21,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-08-01-02-02-04.wav,surprised,2
22,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-07-01-02-01-04.wav,disgust,2
23,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-05-01-01-01-04.wav,angry,2
24,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-04-02-02-01-04.wav,sad,3
25,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-08-02-02-01-04.wav,surprised,3
26,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-08-02-02-02-04.wav,surprised,3
27,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-05-01-02-02-04.wav,angry,2
28,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-06-01-02-02-04.wav,fearful,2
29,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-07-01-01-02-04.wav,disgust,2
30,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-07-02-01-02-04.wav,disgust,3
31,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-03-02-02-02-04.wav,happy,3
32,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-05-02-01-01-04.wav,angry,3
33,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-08-01-01-02-04.wav,surprised,2
34,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-05-02-01-02-04.wav,angry,3
